Tool,Type,Topic,Language,Input,Format input,Output,Format output,Design,Build,Test,Learn,Country/Node,Sequence (i),Protein structure (o),In_DBTL_Cycle,DB,DT,DL,BT,BL,TL,DBT,DBL,DTL,BTL,DBTL
JAMDA,"Command-line tool, Web service","Molecular modelling, Protein interactions, Bioinformatics, Drug discovery, Protein binding sites, Structure prediction",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF, SMILES, InChI, Mol2","Protein structure report, Protein-ligand complex, Score, Small molecule structure, Protein structure, Root-mean-square deviation","CSV, PDB, SDF",1,0,0,1,Germany,0,1,1,0,0,1,0,0,0,0,0,0,0,0
DoGSite3,"Web API, Command-line tool, Web service","Protein binding sites, Structure analysis, Drug discovery, Molecular modelling, Bioinformatics, Protein properties",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF","Protein features, Protein structure, Protein structure report, Map data","Textual format, PDB",1,0,0,1,Germany,0,1,1,0,0,1,0,0,0,0,0,0,0,0
DoGSiteScorer,"Web API, Web service","Protein binding sites, Machine learning, Protein structure analysis, Drug discovery, Molecular modelling, Bioinformatics, Protein properties",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF","Protein features, Protein structure, Protein structure report, Score, Map data","Textual format, PDB",1,0,0,1,Germany,0,1,1,0,0,1,0,0,0,0,0,0,0,0
QP-Insights Uploader,Desktop application,"Medical imaging, Data integration and warehousing",Python,"Raw image, Data index report","DICOM format, rcc, xls",,,0,0,0,0,Quibim,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xgt,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DICOM-SEG Annotation,"Desktop application, Command-line tool",Data quality management,Python,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCVI,"Command-line tool, Library","Sequence assembly, Mapping",Python,,,,,0,1,0,0,"Haibao Tang, Xingtan Zhang",0,0,1,0,0,0,0,0,0,0,0,0,0,0
PoseEdit,"Web API, Web service","Protein interactions, Data visualisation, Molecular interactions, pathways and networks, Bioinformatics, Drug discovery, Protein structure analysis, Protein binding sites",,"Protein structure, Protein-ligand complex, Small molecule structure","PDB, SDF","Protein-ligand interaction report, Protein structure image, Chemical structure image, Protein interaction data","JSON, Textual format, SVG",0,0,1,1,Germany,0,1,1,0,0,0,0,0,1,0,0,0,0,0
METALizer,"Web API, Web service","Protein interactions, Protein binding sites, Sequence sites, features and motifs, Protein structure analysis, Drug discovery, Data mining, Bioinformatics, Data visualisation, Molecular interactions, pathways and networks, Protein properties",,"Protein structure, Protein-ligand complex, Small molecule structure","PDB, SDF","Protein interaction data, Score, Root-mean-square deviation, Protein structure report",Textual format,1,0,1,1,Germany,0,1,1,0,1,1,0,0,1,0,0,1,0,0
Data Integration Quality Check Tool (DIQCT),"Suite, Desktop application",Data quality management,"Python, R",,,,,0,0,0,0,Ioanna Chouvarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Image Duplicates Checker,Command-line tool,Data quality management,Python,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gc_derivatization,"Library, Command-line tool",Metabolomics,Python,,,,,0,0,1,0,"Wudimir Rojas, Helge Hecht, RECETOX MUNI",0,0,1,0,0,0,0,0,0,0,0,0,0,0
minigraph,Command-line tool,"Genomics, Mapping","C, JavaScript",,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snpfreq,Script,"Genetic variation, Statistics and probability",Perl,Count matrix,Textual format,Count matrix,Textual format,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SNP-sites,Command-line tool,"Genomics, DNA polymorphism",C,Nucleic acid sequence alignment,"Relaxed PHYLIP Sequential, FASTA-aln, VCF",Nucleic acid sequence alignment,"Relaxed PHYLIP Sequential, FASTA-aln, VCF",0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NanoporeDB,,Computational biology,,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NP-Likeness,Command-line tool,Small molecules,Java,,,,,1,0,0,0,"Kalai Vanii Jayaseelan, Andreas Truszkowski, Pablo Moreno, Peter Ertl, Christoph Steinbeck",0,0,1,0,0,0,0,0,0,0,0,0,0,0
generate_count_matrix,,Transcriptomics,Python,Gene expression profile,,Count matrix,,0,0,1,0,Jessica Chung,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nanosv,Command-line tool,"Structural genomics, Long-read sequencing",Python,Nucleic acid sequence alignment,BAM,Sequence variations,VCF,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s3segmenter,Script,Bioimaging,MATLAB,"Image, Map data",OME-TIFF,Map data,TIFF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParseSNP,Desktop application,Personalised medicine,C++,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CompuCell3D,Command-line tool,"Systems biology, Computational biology","Python, C++",,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NuclearPhaser,Script,Genomics,Python,,,,,0,0,0,0,Jana Sperschneider,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seqlib,Library,"Molecular genetics, Genomics",Rust,Nucleic acid sequence,,Nucleic acid sequence,,0,0,0,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
sam2interval,Script,Genomics,Python,Sequence alignment,SAM,Sequence alignment,BAM,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
miniconda,"Suite, Command-line tool",Software management,Python,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FigCanvas,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EvoBind,Command-line tool,"Protein folding, stability and design, Structure prediction",Python,,,,,1,0,0,0,Patrick Bryant,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EUCAIM ETL toolset,"Workflow, Library","Data identity and mapping, Workflows","Python, Java",,,,,0,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlphaFind v2,Web application,Proteins,,Protein structure,,Structure similarity score,,0,0,0,0,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circlator,Command-line tool,Sequence assembly,Python,,,,,0,1,0,0,Martin Hunt,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PoseView,"Web service, Web API","Protein interactions, Data visualisation, Molecular interactions, pathways and networks, Bioinformatics, Drug discovery, Protein structure analysis, Protein binding sites",,"Protein structure, Protein-ligand complex, Small molecule structure","PDB, SDF","Protein-ligand interaction report, Chemical structure image, Protein structure image","PDF, SVG, PNG",0,0,1,1,Germany,0,1,1,0,0,0,0,0,1,0,0,0,0,0
GONetView,Web application,"Ontology and terminology, Functional genomics, Data visualisation, Bioinformatics","Python, TypeScript","GO concept ID, Gene symbol",,Pathway or network,"PDF, SVG, PNG",0,0,1,1,Jonas Marx,0,0,1,0,0,0,0,0,1,0,0,0,0,0
EdinOmics Dash App,Script,"Metabolomics, Bioinformatics, Data curation and archival, Biochemistry, Data visualisation, Biosciences",Python,,,,,0,0,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0
MicroMiner,"Command-line tool, Web service","Protein structure analysis, Protein folding, stability and design, Drug discovery, Data mining, Bioinformatics",,"Protein structure, UniProt accession, Protein-ligand complex, Small molecule structure","PDB, SDF","Root-mean-square deviation, Protein structure alignment, Protein structure, Database search results","PDB, Textual format",0,0,0,1,Germany,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SIENA,"Web API, Command-line tool, Web service","Protein binding sites, Drug discovery, Data mining, Protein structure analysis, Bioinformatics, Protein interactions",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF","Protein structure, Sequence alignment (protein), Root-mean-square deviation, Small molecule structure, Protein structure alignment, Database search results","PDB, SDF, Textual format",0,0,0,1,Germany,0,1,1,0,0,0,0,0,0,0,0,0,0,0
GeoMine,"Web API, Web service","Protein interactions, Data mining, Bioinformatics, Protein sites, features and motifs, Structure analysis, Drug discovery",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF","Database search results, Protein structure alignment, Protein structure, Root-mean-square deviation","Textual format, PDB",0,0,0,1,Germany,0,1,1,0,0,0,0,0,0,0,0,0,0,0
WarPP,"Web service, Command-line tool, Web API","Protein properties, Structure prediction, Molecular interactions, pathways and networks, Structural biology, Bioinformatics, Protein interactions, Molecular modelling, Drug discovery, Structure analysis, Protein binding sites",,"Protein-ligand complex, Small molecule structure","PDB, SDF","Protein structure, Protein structure report","PDB, Textual format",1,0,0,1,Germany,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Protoss,"Web API, Web service","Protein interactions, Molecular interactions, pathways and networks, Structural biology, Bioinformatics, Molecular modelling, Drug discovery, Protein binding sites, Structure prediction",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF","Protein structure, Protein-ligand complex, Small molecule structure","PDB, SDF",1,0,0,1,Germany,0,1,1,0,0,1,0,0,0,0,0,0,0,0
PrimerPickr,Web service,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HyPPI,"Web API, Web service","Protein interactions, Molecular interactions, pathways and networks",,Protein structure,PDB,Score,,0,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIAscorer,"Web service, Command-line tool, Web API","Structure analysis, X-ray diffraction, Bioinformatics, Drug discovery, Molecular modelling",,"Protein structure, Protein-ligand complex","PDB, SDF","Protein structure, Protein-ligand complex, Score","PDB, CSV",1,0,0,1,Germany,0,1,1,0,0,1,0,0,0,0,0,0,0,0
StructureProfiler,"Web API, Command-line tool, Web service","Structure analysis, Data quality management, Protein binding sites, Drug discovery, Bioinformatics, Structural biology",,"Protein structure, Protein-ligand complex","PDB, SDF","Protein structural quality report, Protein geometry data",,0,0,0,1,Germany,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LifeSoaks,"Command-line tool, Web service","X-ray diffraction, Structure analysis, Protein binding sites, Drug discovery, Bioinformatics",,"Protein structure, Protein-ligand complex","PDB, SDF",Protein structure report,,0,0,0,1,Germany,0,1,1,0,0,0,0,0,0,0,0,0,0,0
plantiSMASH,,"Transcription factors and regulatory sites, Data mining, Functional genomics",,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DigestedProteinDB,Database portal,Proteomics,,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Open Neuroscience Graph,Database portal,Biosciences,JavaScript,,,,,0,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phantasus,Library,"Gene expression, Microarray experiment, RNA-Seq, Transcriptomics",R,,,,,0,0,1,0,Alexey Sergushichev,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fgsea,"Library, Command-line tool",Genetics,R,,,,,0,1,0,0,Alexey Sergushichev,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TenDNA DNA Format Converter,Web service,Bioinformatics,PHP,,,,,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Metastasis risk prediction in Lung cancer,Command-line tool,,"Python, R",,,,,0,0,0,0,Ioanna Chouvarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostate ISUP classification,Command-line tool,,"Python, R",,,,,0,0,0,0,Ioanna Chouvarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAPPHIRE,Script,"Cybersecurity, Machine learning, Data protection, Medical imaging",Python,,,,,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EDGAR-2.0,Web application,Comparative genomics,,Nucleic acid sequence record,GenBank format,,,1,0,0,0,"bigi, Jochen Blom",1,0,1,0,0,0,0,0,0,0,0,0,0,0
CPMCP,Database portal,"Medicine, Biological databases, Drug development, Preclinical and clinical studies",,,,,,0,0,0,1,"Jin-Mao Wei, Jian Liu",0,0,1,0,0,0,0,0,0,0,0,0,0,0
DISULFIND,Web application,"Proteins, Protein sites, features and motifs, Sequence composition, complexity and repeats, Gene and protein families, Structure prediction",,,,,,1,0,0,0,DISULFIND Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Image Quality Assessment metrics  (IQA) for XNAT platform,"Script, Command-line tool",Data quality management,"Python, MATLAB",Image,DICOM format,"Image, Score","PNG, xlsx",0,0,0,0,"Feriel Romdhane, Euro-BioImaging ERIC, National Research Council",0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLmCED Filter,Script,"Imaging, MRI, Medical imaging","Python, MATLAB",Image,DICOM format,Image,"JPG, DICOM format, MAT",0,0,0,0,Feriel Romdhane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExomeFlow,"Workflow, Command-line tool","Computational biology, Sequence analysis, DNA mutation","Python, Bash",,,,,1,0,0,0,Robin Kumar,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FrameXplore,Web application,Biosciences,Python,,,,,0,0,0,0,Vidhu S Vijay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CycSim,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIGR xnattools,Library,,Python,,,,,0,0,0,0,"Martijn PA Starmans, Erasmus MC",0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSENAT,Command-line tool,Transcriptomics,R,Expression data,,Nucleic acid entropy,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GlyComboCLI,Command-line tool,"Biochemistry, Omics",C#,Mass spectrum,mzML,Carbohydrate accession,CSV,0,0,1,0,"Christopher Ashwood, Maia Kelly",0,0,1,0,0,0,0,0,0,0,0,0,0,0
FLIRT,Library,"Machine learning, Physiology, Data quality management",Python,Experimental measurement,CSV,Report,HTML,0,0,0,1,"Simon Föll, Martin Maritsch, Federica Spinola, Varun Mishra",0,0,1,0,0,0,0,0,0,0,0,0,0,0
paradigma,"Workflow, Suite","Biomarkers, Neurology",Python,"Phenotype name, Experimental measurement","Textual format, Binary format, JSON",Report,"Binary format, JSON",0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DICHROWEB,Web application,"Protein secondary structure, Structural biology, Protein structure analysis, Proteins",,,,,,0,0,0,0,Contact Form,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RatioPath,Library,"Pathology, Machine learning",,,,,,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RepeatAfterMe,Command-line tool,Genomics,C,"DNA sequence, Sequence range","2bit, bed6",Sequence alignment,FASTA,0,0,0,0,Robert Hubley,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LightLogR,Library,"Open science, Biosciences, Preclinical and clinical studies",R,,,,,0,0,0,0,Johannes Zauner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GenErode,Workflow,Genomics,Other,DNA sequence,"FASTA, FASTQ, BAM","DNA sequence, Sequence variations","BED, BAM, VCF",0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TransVar,Command-line tool,"Genetic variation, Genomics",Python,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUCAIM-MR BPE quantification,Command-line tool,Machine learning,Python,,,,,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ToxinPred3,,,,,,,,0,0,0,0,Dr. Gajendra P. S. Raghava,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProteinsPlus,"Web API, Web service","Structure analysis, Protein binding sites",,"Protein structure, Protein-ligand complex, UniProt accession, Small molecule structure","PDB, SDF, Mol2, InChI, SMILES","Protein structure, Protein property, Protein structure image, Score, Sequence alignment (protein), Root-mean-square deviation, Protein structure report, Structure alignment (pair), Protein-ligand complex, Protein interaction data, Protein-ligand interaction report, Protein structural quality report, Protein geometry data, Protein features, Database search results, Protein structure alignment, Small molecule structure","PDB, CSV, SDF, PDF, JSON, SVG, PNG, Textual format",0,0,0,0,Germany,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fastahack,Library,Sequence analysis,C++,Sequence,FASTA,"Sequence, Data index","FASTA, FASTA-like (text), Textual format",0,0,0,0,Erik Garrison,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSC (Genotype Sparse Compression),,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hifiasm,Command-line tool,Sequence assembly,"C, C++",,,,,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CB-Dock2,Web application,"Molecular modelling, Cheminformatics, Workflows, Medicinal chemistry",,,,,,1,0,0,0,"Yang Cao, Yang Liu",0,0,1,0,0,0,0,0,0,0,0,0,0,0
EvolView,Web application,"Phylogenetics, Phylogeny, Model organisms",,,,,,0,0,0,0,Evolview Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClipKIT in the browser,,"Phylogenomics, Phylogenetics, Structure analysis",,,,,,0,0,0,0,Jacob L Steenwyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slow5-dorado,Command-line tool,"Long-read sequencing, Sequence analysis",C++,Sequence trace,,Nucleic acid sequence alignment,BAM,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dcm2niix,"Command-line tool, Desktop application","Neurobiology, Imaging",C++,Raw image,DICOM format,Image,nii,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daligner,Command-line tool,Sequence assembly,C,Sequence trace,,,,0,1,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ProteinMPNN,Command-line tool,"Protein folding, stability and design",Python,,,Protein sequence,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DiffDock,,Molecular modelling,Python,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chai-1,,Structure prediction,Python,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Verkko,Command-line tool,"Sequence assembly, Genomics, Long-read sequencing","Perl, Python, Bash",Nucleic acid sequence,FASTQ,"Nucleic acid sequence, Sequence assembly report","FASTA, CSV",0,1,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PyProphet,Command-line tool,"Proteomics, Bioinformatics",Python,Mass spectrum,Binary format,Mass spectrometry data,Binary format,0,0,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0
MDTraj,Command-line tool,Molecular dynamics,"C++, C, Python, Cython",Trajectory data,"XTC, PDB, mdcrd, trr, NetCDF",Trajectory data,"XTC, PDB, mdcrd, trr, NetCDF",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escher,Web application,"Data visualisation, Molecular interactions, pathways and networks, Endocrinology and metabolism","Python, JavaScript",,,"Pathway or network report, Image","JSON, PNG, SVG",0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bwa-meth,Command-line tool,"Mapping, Genomics",Python,Nucleic acid sequence,"FASTA, FASTQ",Nucleic acid sequence alignment,SAM,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SCANDAN-DICOM-labelling,Script,Data mining,Python,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR-based neuroblastoma tumour detection and segmentation (EUCAIM-SW-019_T-01-02-002),Library,"Oncology, Machine learning, Data architecture, analysis and design",Python,"Image, Report","nii, DICOM format, JSON, CSV",Image,"nii, DICOM format",0,0,1,1,"GIBI230 - HULAFE, Leonor Cerda-Alberich, Diana Veiga Canuto, Pedro-Miguel Martinez-Girones, Carina Soler-Pons, Luis Marti-Bonmati",0,0,1,0,0,0,0,0,1,0,0,0,0,0
DICOM File Integrity Checker (EUCAIM-SW-002_T-01-01-002),Library,"Computer science, Data acquisition, Data management",Python,"Image, Report","DICOM format, xlsx, JSON","Image, Report","DICOM format, HTML, xlsx, JSON",0,0,0,1,"GIBI230 - HULAFE, Pedro-Miguel Martinez-Girones, Adrian Galiana-Bordera, Carina Soler-Pons, Luis Marti-Bonmati",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Denoising-Inhomogeneity Correction Tool (EUCAIM-SW-015_T-01-01-015),Library,Data curation and archival,Python,"Image, Report","DICOM format, JSON",Image,DICOM format,0,0,0,1,"GIBI230 - HULAFE, Matias Fernandez-Paton, Pedro-Miguel Martinez-Girones, Carina Soler-Pons, Leonor Cerda-Alberich, Luis Marti-Bonmati",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster based harmonization (EUCAIM-SW-044_T-01-03-006),Library,"Data curation and archival, Imaging",Python,Text data,"xlsx, CSV, JSON",Text data,"xlsx, CSV, TIDE TXT",0,0,0,1,"GIBI230 - HULAFE, Aikaterini Vraka, Pedro-Miguel Martínez-Gironés",0,0,1,0,0,0,0,0,0,0,0,0,0,0
2D Digital Mammography Harmonization (EUCAIM-SW-046_T-01-03-008),Library,"Data curation and archival, Computer science, Imaging, Data management",Python,"Image, Report","DICOM format, JSON",Image,DICOM format,0,0,0,1,"GIBI230 - HULAFE, Manuel Marfil-Trujillo, Pedro-Miguel Martinez-Girones, Carina Soler-Pons",0,0,1,0,0,0,0,0,0,0,0,0,0,0
ML model for MR series categorisation (EUCAIM-SW-011_T-01-01-011),Library,"Computer science, Data acquisition, Data management",Python,Image,DICOM format,Report,JSON,0,0,0,1,"GIBI230 - HULAFE, Armando Gomis-Maya, Pedro-Miguel Martinez-Girones, Carina Soler-Pons, Leonor Cerda-Alberich, Luis Marti-Bonmati",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Time Coherence Tool (EUCAIM-SW-001_T-01-01-001),Library,"Data visualisation, Computer science",Python,Report,"xlsx, CSV",Image,"PNG, SVG, PDF",0,0,1,0,"GIBI230 - HULAFE, Adrian Galiana-Bordera, Pedro-Miguel Martinez-Girones, Carina Soler-Pons",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Radiomic features extraction (EUCAIM-SW-055_T-02-01-003),,,Python,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall survival in neuroblastoma by GIBI230 (EUCAIM-SW-079_T-02-04-008),Library,"Machine learning, Data architecture, analysis and design",,,,,,0,0,1,1,GIBI230 - HULAFE,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Overall survival in glioblastoma multiforme (EUCAIM-SW-078_T-02-04-007),Library,"Machine learning, Data architecture, analysis and design",,,,,,0,0,1,1,GIBI230 - HULAFE,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Volumetry analysis (EUCAIM-SW-061_T-02-01-009),Library,"Data architecture, analysis and design",,,,,,0,0,1,0,GIBI230 - HULAFE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deep features extraction (EUCAIM-SW-059_T-02-01-007),Library,"Data architecture, analysis and design",,,,,,0,0,1,0,GIBI230 - HULAFE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Perfusion maps extraction (EUCAIM-SW-054_T-02-01-002),Library,"Data architecture, analysis and design",,,,,,0,0,1,0,GIBI230 - HULAFE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Diffusion maps extraction (EUCAIM-SW-057_T-02-01-005),Library,"Data architecture, analysis and design",,,,,,0,0,1,0,GIBI230 - HULAFE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R1 and T1 maps extraction (EUCAIM-SW-058_T-02-01-006),Library,"Data architecture, analysis and design",,,,,,0,0,1,0,GIBI230 - HULAFE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R2 maps extraction (EUCAIM-SW-056_T-02-01-004),Library,"Data architecture, analysis and design",,,,,,0,0,1,0,GIBI230 - HULAFE,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tabular Data Curator,Web API,Data quality management,Python,,,,,0,0,0,0,"Unit of Medical Technology and Intelligent Information Systems (MEDLAB) and FORTH, Dr. Vasileios Pezoulas, Dr. Nikolaos Tachos, Prof. Dimitrios Fotiadis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostate Anatomies and Lesion Automatic Segmentor,Workflow,"Machine learning, Medical informatics",Python,MRI image,,MRI image,,0,0,0,1,"Foundation for Research and Technology Hellas (FORTH), Dimitrios I. Zaridis, Nikolaos Tachos, Dimitrios I. Fotiadis",0,0,1,0,0,0,0,0,0,0,0,0,0,0
protein-mosaic-q,"Command-line tool, Library",Structure analysis,Python,,,,,0,0,0,0,"Francisco Javier Lobo-Cabrera, José A. Prado-Bassas",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostate zone segmentation tool,Command-line tool,Medical informatics,Python,MRI image,"DICOM format, nii","Image, MRI image","DICOM format, nii",0,0,0,0,"José Guilherme de Almeida, Nickolas Papanikolaou, Nuno Rodrigues",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immune Checkpoint Inhibitor Development Services for Cancer,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virtual Cell Modeling Service,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Saharan Africa Brain Glioma Segmenter,"Web application, Command-line tool, Workflow","MRI, Machine learning",Python,,,,,0,0,0,1,"Daniel Capellán-Martín, Abhijeet Parida, Zhifan Jiang, María Jesus Ledesma-Carbayo, Marius George Linguraru",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Intercranial Meningioma Segmenter,"Web application, Command-line tool, Workflow","MRI, Machine learning",Python,,,,,0,0,0,1,"Daniel Capellán-Martín, Abhijeet Parida, Zhifan Jiang, María Jesus Ledesma-Carbayo, Marius George Linguraru",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brain Metastasis Segmenter,"Web application, Command-line tool, Workflow","MRI, Machine learning",Python,,,,,0,0,0,1,"Daniel Capellán-Martín, Abhijeet Parida, Zhifan Jiang, María Jesus Ledesma-Carbayo, Marius George Linguraru",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brain Glioma Segmenter,"Command-line tool, Web application, Workflow","MRI, Machine learning",Python,,,,,0,0,0,1,"Daniel Capellán-Martín, Abhijeet Parida, Zhifan Jiang, María Jesus Ledesma-Carbayo, Marius George Linguraru",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pediatric Brain Tumor Segmenter,"Web application, Command-line tool, Workflow","MRI, Machine learning",Python,,,,,0,0,0,1,"Daniel Capellán-Martín, Abhijeet Parida, Zhifan Jiang, María Jesus Ledesma-Carbayo, Marius George Linguraru",0,0,1,0,0,0,0,0,0,0,0,0,0,0
IQA DCE tool,Command-line tool,"MRI, Data quality management, Oncology",Python,,,,,0,0,0,0,"Computational BioMedicine Laboratory, Foundation for Research and Technology Hellas (FORTH)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUCAIM Wizard Tool,Desktop application,"Medical imaging, Data protection, Oncology",Java,,,,,0,0,0,0,"Computational BioMedicine Laboratory, Foundation for Research and Technology Hellas (FORTH)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
RACLAHE,Workflow,"Data visualisation, Machine learning",Python,,,,,0,0,1,1,"Foundation for Research and Technology Hellas (FORTH), Dimitrios I. Zaridis, Nikolaos Tachos, Dimitrios I. Fotiadis",0,0,1,0,0,0,0,0,1,0,0,0,0,0
Deep Learning Noise Reduction (DLNR),Command-line tool,Data quality management,,,,,,0,0,0,0,Eleftherios Trivizakis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lethe DICOM Anonymizer,"Command-line tool, Desktop application","Medical imaging, Data protection, FAIR data",Python,Raw image,DICOM format,Raw image,DICOM format,0,0,0,0,"Computational BioMedicine Laboratory, Foundation for Research and Technology Hellas (FORTH), Stelios Sfakianakis, Valia Kalokyri",0,0,0,0,0,0,0,0,0,0,0,0,0,0
